n,k,Time (sec)
8192,45,0.79869138900000002934
8192,47,0.80748169199999997314
8192,49,0.79488241800000003501
8192,51,0.90476381900000002467
8192,53,0.97847968900000004133
8192,55,0.81875486900000005175
8192,57,0.82560302699999998932
8192,59,0.81423024700000001808
8192,61,0.82449439199999996486
8192,63,0.81530020199999997388
8192,65,0.80986000199999996774
